krs,year,value
1001,2010,0.002
1001,2015,0.937
1002,2010,0.782
1002,2015,0.958
1003,2010,0.10800000000000001
1003,2015,0.92
1004,2010,0.002
1004,2015,0.9309999999999999
1051,2010,0
1051,2015,0.47200000000000003
1053,2010,0.009000000000000001
1053,2015,0.8540000000000001
1054,2010,0.002
1054,2015,0.48
1055,2010,0
1055,2015,0.649
1056,2010,0.19399999999999998
1056,2015,0.8140000000000001
1057,2010,0.25
1057,2015,0.48200000000000004
1058,2010,0.231
1058,2015,0.6509999999999999
1059,2010,0.001
1059,2015,0.456
1060,2010,0.027999999999999997
1060,2015,0.8140000000000001
1061,2010,0.003
1061,2015,0.722
1062,2010,0.102
1062,2015,0.853
2000,2010,0.745
2000,2015,0.9440000000000001
3101,2010,0.126
3101,2015,0.897
3102,2010,0.001
3102,2015,0.8390000000000001
3103,2010,0.004
3103,2015,0.851
3151,2010,0.001
3151,2015,0.439
3152,2010,0.005
3152,2015,0.6709999999999999
3153,2010,0
3153,2015,0.725
3154,2010,0.42700000000000005
3154,2015,0.58
3155,2010,0.004
3155,2015,0.574
3156,2010,0
3156,2015,0.66
3157,2010,0
3157,2015,0.698
3158,2010,0.002
3158,2015,0.7929999999999999
3241,2010,0.632
3241,2015,0.89
3251,2010,0.255
3251,2015,0.58
3252,2010,0.231
3252,2015,0.613
3254,2010,0
3254,2015,0.6509999999999999
3255,2010,0.035
3255,2015,0.573
3256,2010,0
3256,2015,0.7390000000000001
3257,2010,0.001
3257,2015,0.5770000000000001
3351,2010,0.035
3351,2015,0.59
3352,2010,0.11199999999999999
3352,2015,0.6729999999999999
3353,2010,0.024
3353,2015,0.7140000000000001
3354,2010,0
3354,2015,0.41100000000000003
3355,2010,0.001
3355,2015,0.622
3356,2010,0.301
3356,2015,0.627
3357,2010,0.001
3357,2015,0.603
3358,2010,0.001
3358,2015,0.6659999999999999
3359,2010,0.001
3359,2015,0.679
3360,2010,0.001
3360,2015,0.5539999999999999
3361,2010,0.223
3361,2015,0.64
3401,2010,0.7559999999999999
3401,2015,0.955
3402,2010,0.003
3402,2015,0.94
3403,2010,0.218
3403,2015,0.938
3404,2010,0.002
3404,2015,0.9359999999999999
3405,2010,0.002
3405,2015,0.956
3451,2010,0.109
3451,2015,0.6679999999999999
3452,2010,0.001
3452,2015,0.631
3453,2010,0
3453,2015,0.523
3454,2010,0.019
3454,2015,0.598
3455,2010,0.001
3455,2015,0.732
3456,2010,0.001
3456,2015,0.682
3457,2010,0
3457,2015,0.608
3458,2010,0.113
3458,2015,0.644
3459,2010,0.001
3459,2015,0.594
3460,2010,0.077
3460,2015,0.648
3461,2010,0.047
3461,2015,0.691
3462,2010,0
3462,2015,0.47200000000000003
4011,2010,0.757
4011,2015,0.9279999999999999
4012,2010,0.001
4012,2015,0.9690000000000001
5111,2010,0.929
5111,2015,0.9470000000000001
5112,2010,0.72
5112,2015,0.7859999999999999
5113,2010,0.777
5113,2015,0.855
5114,2010,0.8420000000000001
5114,2015,0.885
5116,2010,0.7809999999999999
5116,2015,0.8140000000000001
5117,2010,0.884
5117,2015,0.898
5119,2010,0.115
5119,2015,0.7909999999999999
5120,2010,0.7240000000000001
5120,2015,0.777
5122,2010,0.599
5122,2015,0.6509999999999999
5124,2010,0.19699999999999998
5124,2015,0.8640000000000001
5154,2010,0.317
5154,2015,0.439
5158,2010,0.7340000000000001
5158,2015,0.802
5162,2010,0.695
5162,2015,0.7390000000000001
5166,2010,0.514
5166,2015,0.6809999999999999
5170,2010,0.441
5170,2015,0.6990000000000001
5314,2010,0.943
5314,2015,0.975
5315,2010,0.945
5315,2015,0.9670000000000001
5316,2010,0.281
5316,2015,0.973
5334,2010,0.785
5334,2015,0.8640000000000001
5358,2010,0.156
5358,2015,0.7879999999999999
5362,2010,0.49700000000000005
5362,2015,0.727
5366,2010,0.085
5366,2015,0.507
5370,2010,0.276
5370,2015,0.514
5374,2010,0.002
5374,2015,0.379
5378,2010,0.48700000000000004
5378,2015,0.649
5382,2010,0.519
5382,2015,0.664
5512,2010,0.311
5512,2015,0.9
5513,2010,0.5920000000000001
5513,2015,0.93
5515,2010,0.835
5515,2015,0.8590000000000001
5554,2010,0.272
5554,2015,0.608
5558,2010,0.28800000000000003
5558,2015,0.516
5562,2010,0.72
5562,2015,0.8270000000000001
5566,2010,0.319
5566,2015,0.616
5570,2010,0.342
5570,2015,0.626
5711,2010,0.105
5711,2015,0.823
5754,2010,0.40299999999999997
5754,2015,0.503
5758,2010,0.62
5758,2015,0.682
5762,2010,0.331
5762,2015,0.43200000000000005
5766,2010,0.22899999999999998
5766,2015,0.642
5770,2010,0.508
5770,2015,0.608
5774,2010,0.606
5774,2015,0.6920000000000001
5911,2010,0.8959999999999999
5911,2015,0.92
5913,2010,0.7340000000000001
5913,2015,0.792
5914,2010,0.162
5914,2015,0.8740000000000001
5915,2010,0.001
5915,2015,0.738
5916,2010,0.003
5916,2015,0.8320000000000001
5954,2010,0.314
5954,2015,0.6729999999999999
5958,2010,0.8059999999999999
5958,2015,0.835
5962,2010,0.375
5962,2015,0.643
5966,2010,0.436
5966,2015,0.46299999999999997
5970,2010,0.511
5970,2015,0.64
5974,2010,0.664
5974,2015,0.76
5978,2010,0.731
5978,2015,0.797
6411,2010,0.8079999999999999
6411,2015,0.95
6412,2010,0.889
6412,2015,0.946
6413,2010,0.866
6413,2015,0.92
6414,2010,0.9159999999999999
6414,2015,0.948
6431,2010,0.507
6431,2015,0.768
6432,2010,0.341
6432,2015,0.5870000000000001
6433,2010,0.495
6433,2015,0.713
6434,2010,0.825
6434,2015,0.922
6435,2010,0.46399999999999997
6435,2015,0.907
6436,2010,0.588
6436,2015,0.6779999999999999
6437,2010,0.003
6437,2015,0.925
6438,2010,0.636
6438,2015,0.83
6439,2010,0.392
6439,2015,0.71
6440,2010,0.397
6440,2015,0.6409999999999999
6531,2010,0.46299999999999997
6531,2015,0.599
6532,2010,0.316
6532,2015,0.456
6533,2010,0.024
6533,2015,0.42700000000000005
6534,2010,0.115
6534,2015,0.499
6535,2010,0
6535,2015,0.32799999999999996
6611,2010,0.7859999999999999
6611,2015,0.846
6631,2010,0.575
6631,2015,0.6890000000000001
6632,2010,0.426
6632,2015,0.491
6633,2010,0.316
6633,2015,0.41100000000000003
6634,2010,0.075
6634,2015,0.297
6635,2010,0.231
6635,2015,0.612
6636,2010,0
6636,2015,0.431
7111,2010,0.001
7111,2015,0.8
7131,2010,0.012
7131,2015,0.527
7132,2010,0.026000000000000002
7132,2015,0.35700000000000004
7133,2010,0.001
7133,2015,0.7090000000000001
7134,2010,0.139
7134,2015,0.588
7135,2010,0.001
7135,2015,0.72
7137,2010,0.018000000000000002
7137,2015,0.7759999999999999
7138,2010,0.002
7138,2015,0.616
7140,2010,0.016
7140,2015,0.7140000000000001
7141,2010,0.002
7141,2015,0.532
7143,2010,0.002
7143,2015,0.743
7211,2010,0.003
7211,2015,0.846
7231,2010,0
7231,2015,0.424
7232,2010,0
7232,2015,0.198
7233,2010,0.003
7233,2015,0.276
7235,2010,0.023
7235,2015,0.446
7311,2010,0.003
7311,2015,0.9520000000000001
7312,2010,0.003
7312,2015,0.9079999999999999
7313,2010,0.002
7313,2015,0.812
7314,2010,0.833
7314,2015,0.941
7315,2010,0.182
7315,2015,0.892
7316,2010,0.001
7316,2015,0.7759999999999999
7317,2010,0.003
7317,2015,0.8440000000000001
7318,2010,0.003
7318,2015,0.943
7319,2010,0.001
7319,2015,0.872
7320,2010,0
7320,2015,0.764
7331,2010,0.015
7331,2015,0.763
7332,2010,0
7332,2015,0.642
7333,2010,0.086
7333,2015,0.575
7334,2010,0.002
7334,2015,0.615
7335,2010,0.015
7335,2015,0.623
7336,2010,0.10800000000000001
7336,2015,0.633
7337,2010,0
7337,2015,0.535
7338,2010,0.19399999999999998
7338,2015,0.8540000000000001
7339,2010,0.002
7339,2015,0.809
7340,2010,0.034
7340,2015,0.503
8111,2010,0.853
8111,2015,0.8590000000000001
8115,2010,0.6940000000000001
8115,2015,0.738
8116,2010,0.691
8116,2015,0.727
8117,2010,0.816
8117,2015,0.835
8118,2010,0.7340000000000001
8118,2015,0.77
8119,2010,0.685
8119,2015,0.711
8121,2010,0.72
8121,2015,0.8140000000000001
8125,2010,0.584
8125,2015,0.617
8126,2010,0.6829999999999999
8126,2015,0.73
8127,2010,0.6459999999999999
8127,2015,0.654
8128,2010,0.518
8128,2015,0.612
8135,2010,0.637
8135,2015,0.675
8136,2010,0.635
8136,2015,0.6729999999999999
8211,2010,0.615
8211,2015,0.728
8212,2010,0.912
8212,2015,0.912
8215,2010,0.69
8215,2015,0.7190000000000001
8216,2010,0.5479999999999999
8216,2015,0.684
8221,2010,0.879
8221,2015,0.879
8222,2010,0.929
8222,2015,0.929
8225,2010,0.361
8225,2015,0.39799999999999996
8226,2010,0.7440000000000001
8226,2015,0.765
8231,2010,0.875
8231,2015,0.89
8235,2010,0.546
8235,2015,0.605
8236,2010,0.57
8236,2015,0.6409999999999999
8237,2010,0.521
8237,2015,0.608
8311,2010,0.7609999999999999
8311,2015,0.7609999999999999
8315,2010,0.41
8315,2015,0.43
8316,2010,0.37799999999999995
8316,2015,0.452
8317,2010,0.608
8317,2015,0.622
8325,2010,0.698
8325,2015,0.728
8326,2010,0.657
8326,2015,0.691
8327,2010,0.8440000000000001
8327,2015,0.855
8335,2010,0.654
8335,2015,0.7
8336,2010,0.584
8336,2015,0.61
8337,2010,0.431
8337,2015,0.622
8415,2010,0.6779999999999999
8415,2015,0.7090000000000001
8416,2010,0.696
8416,2015,0.722
8417,2010,0.531
8417,2015,0.574
8421,2010,0.7759999999999999
8421,2015,0.9129999999999999
8425,2010,0.5529999999999999
8425,2015,0.609
8426,2010,0.491
8426,2015,0.528
8435,2010,0.7020000000000001
8435,2015,0.738
8436,2010,0.569
8436,2015,0.625
8437,2010,0.418
8437,2015,0.58
9161,2010,0.001
9161,2015,0.8909999999999999
9162,2010,0.794
9162,2015,0.9309999999999999
9163,2010,0.002
9163,2015,0.9890000000000001
9171,2010,0.003
9171,2015,0.82
9172,2010,0.003
9172,2015,0.895
9173,2010,0
9173,2015,0.5870000000000001
9174,2010,0.002
9174,2015,0.636
9175,2010,0.004
9175,2015,0.525
9176,2010,0.001
9176,2015,0.436
9177,2010,0
9177,2015,0.525
9178,2010,0.065
9178,2015,0.6409999999999999
9179,2010,0.168
9179,2015,0.784
9180,2010,0.003
9180,2015,0.725
9181,2010,0.001
9181,2015,0.573
9182,2010,0.002
9182,2015,0.679
9183,2010,0
9183,2015,0.544
9184,2010,0.47100000000000003
9184,2015,0.784
9185,2010,0
9185,2015,0.511
9186,2010,0.001
9186,2015,0.537
9187,2010,0.001
9187,2015,0.64
9188,2010,0.15
9188,2015,0.6629999999999999
9189,2010,0
9189,2015,0.8220000000000001
9190,2010,0.001
9190,2015,0.613
9261,2010,0.001
9261,2015,0.929
9262,2010,0.001
9262,2015,0.894
9263,2010,0.048
9263,2015,0.898
9271,2010,0.004
9271,2015,0.45799999999999996
9272,2010,0
9272,2015,0.252
9273,2010,0.001
9273,2015,0.469
9274,2010,0.001
9274,2015,0.503
9275,2010,0.001
9275,2015,0.299
9276,2010,0
9276,2015,0.327
9277,2010,0.001
9277,2015,0.369
9278,2010,0.006999999999999999
9278,2015,0.126
9279,2010,0.003
9279,2015,0.377
9361,2010,0.002
9361,2015,0.915
9362,2010,0.174
9362,2015,0.978
9363,2010,0.002
9363,2015,0.955
9371,2010,0
9371,2015,0.542
9372,2010,0
9372,2015,0.284
9373,2010,0
9373,2015,0.446
9374,2010,0.001
9374,2015,0.578
9375,2010,0.017
9375,2015,0.602
9376,2010,0.001
9376,2015,0.305
9377,2010,0.001
9377,2015,0.613
9461,2010,0.003
9461,2015,0.961
9462,2010,0.002
9462,2015,0.937
9463,2010,0.001
9463,2015,0.81
9464,2010,0.439
9464,2015,0.976
9471,2010,0.002
9471,2015,0.41100000000000003
9472,2010,0
9472,2015,0.42100000000000004
9473,2010,0.17
9473,2015,0.612
9474,2010,0.002
9474,2015,0.524
9475,2010,0.003
9475,2015,0.588
9476,2010,0.001
9476,2015,0.485
9477,2010,0.001
9477,2015,0.623
9478,2010,0.002
9478,2015,0.599
9479,2010,0.003
9479,2015,0.606
9561,2010,0.001
9561,2015,0.8370000000000001
9562,2010,0.001
9562,2015,0.875
9563,2010,0.603
9563,2015,0.773
9564,2010,0.804
9564,2015,0.888
9565,2010,0.9109999999999999
9565,2015,0.9390000000000001
9571,2010,0.001
9571,2015,0.59
9572,2010,0.01
9572,2015,0.563
9573,2010,0.368
9573,2015,0.542
9574,2010,0.055
9574,2015,0.609
9575,2010,0.001
9575,2015,0.49700000000000005
9576,2010,0.149
9576,2015,0.57
9577,2010,0.001
9577,2015,0.6679999999999999
9661,2010,0.003
9661,2015,0.9279999999999999
9662,2010,0.026000000000000002
9662,2015,0.7909999999999999
9663,2010,0.765
9663,2015,0.914
9671,2010,0
9671,2015,0.425
9672,2010,0
9672,2015,0.5479999999999999
9673,2010,0.001
9673,2015,0.439
9674,2010,0.001
9674,2015,0.501
9675,2010,0
9675,2015,0.49200000000000005
9676,2010,0.001
9676,2015,0.639
9677,2010,0.002
9677,2015,0.384
9678,2010,0.003
9678,2015,0.618
9679,2010,0.29600000000000004
9679,2015,0.48200000000000004
9761,2010,0.703
9761,2015,0.8420000000000001
9762,2010,0.001
9762,2015,0.9640000000000001
9763,2010,0.004
9763,2015,0.9620000000000001
9764,2010,0
9764,2015,0.902
9771,2010,0.17
9771,2015,0.599
9772,2010,0.39799999999999996
9772,2015,0.715
9773,2010,0
9773,2015,0.631
9774,2010,0.001
9774,2015,0.584
9775,2010,0.032
9775,2015,0.773
9776,2010,0.002
9776,2015,0.511
9777,2010,0.002
9777,2015,0.583
9778,2010,0.001
9778,2015,0.525
9779,2010,0.001
9779,2015,0.652
9780,2010,0.001
9780,2015,0.7120000000000001
10041,2010,0.341
10041,2015,0.7190000000000001
10042,2010,0.14400000000000002
10042,2015,0.5329999999999999
10043,2010,0.002
10043,2015,0.743
10044,2010,0.055999999999999994
10044,2015,0.741
10045,2010,0.017
10045,2015,0.843
10046,2010,0.003
10046,2015,0.511
11000,2010,0.7709999999999999
11000,2015,0.9009999999999999
12051,2010,0.001
12051,2015,0.893
12052,2010,0.001
12052,2015,0.884
12053,2010,0
12053,2015,0.441
12054,2010,0.645
12054,2015,0.868
12060,2010,0.061
12060,2015,0.478
12061,2010,0.03
12061,2015,0.585
12062,2010,0.001
12062,2015,0.179
12063,2010,0.253
12063,2015,0.618
12064,2010,0.013999999999999999
12064,2015,0.5489999999999999
12065,2010,0.004
12065,2015,0.607
12066,2010,0.001
12066,2015,0.625
12067,2010,0.006
12067,2015,0.49700000000000005
12068,2010,0.001
12068,2015,0.506
12069,2010,0.223
12069,2015,0.502
12070,2010,0
12070,2015,0.46799999999999997
12071,2010,0.001
12071,2015,0.317
12072,2010,0.001
12072,2015,0.45899999999999996
12073,2010,0.002
12073,2015,0.515
13003,2010,0.14
13003,2015,0.907
13004,2010,0.003
13004,2015,0.861
13071,2010,0
13071,2015,0.542
13072,2010,0.001
13072,2015,0.223
13073,2010,0.001
13073,2015,0.568
13074,2010,0
13074,2015,0.38799999999999996
13075,2010,0
13075,2015,0.515
13076,2010,0
13076,2015,0.318
14511,2010,0.002
14511,2015,0.6829999999999999
14521,2010,0.038
14521,2015,0.267
14522,2010,0
14522,2015,0.32799999999999996
14523,2010,0.009000000000000001
14523,2015,0.424
14524,2010,0.002
14524,2015,0.406
14612,2010,0.525
14612,2015,0.8059999999999999
14625,2010,0.027000000000000003
14625,2015,0.345
14626,2010,0.002
14626,2015,0.359
14627,2010,0.125
14627,2015,0.44
14628,2010,0.028999999999999998
14628,2015,0.298
14713,2010,0.636
14713,2015,0.847
14729,2010,0.08199999999999999
14729,2015,0.307
14730,2010,0.043
14730,2015,0.29100000000000004
15001,2010,0.001
15001,2015,0.728
15002,2010,0.11599999999999999
15002,2015,0.665
15003,2010,0.423
15003,2015,0.6
15081,2010,0
15081,2015,0.365
15082,2010,0.003
15082,2015,0.371
15083,2010,0
15083,2015,0.2
15084,2010,0.002
15084,2015,0.366
15085,2010,0.038
15085,2015,0.313
15086,2010,0
15086,2015,0.21899999999999997
15087,2010,0.002
15087,2015,0.32799999999999996
15088,2010,0.004
15088,2015,0.278
15089,2010,0.038
15089,2015,0.446
15090,2010,0.002
15090,2015,0.49
15091,2010,0
15091,2015,0.4
16051,2010,0.172
16051,2015,0.713
16052,2010,0
16052,2015,0.8140000000000001
16053,2010,0.001
16053,2015,0.7659999999999999
16054,2010,0.001
16054,2015,0.851
16055,2010,0
16055,2015,0.7709999999999999
16056,2010,0.001
16056,2015,0.5479999999999999
16061,2010,0
16061,2015,0.384
16062,2010,0
16062,2015,0.474
16063,2010,0.001
16063,2015,0.183
16064,2010,0.001
16064,2015,0.5760000000000001
16065,2010,0.002
16065,2015,0.336
16066,2010,0.001
16066,2015,0.428
16067,2010,0
16067,2015,0.483
16068,2010,0.008
16068,2015,0.32
16069,2010,0
16069,2015,0.38
16070,2010,0
16070,2015,0.424
16071,2010,0.006999999999999999
16071,2015,0.483
16072,2010,0.001
16072,2015,0.5489999999999999
16073,2010,0.001
16073,2015,0.39
16074,2010,0
16074,2015,0.419
16075,2010,0.001
16075,2015,0.478
16076,2010,0
16076,2015,0.452
16077,2010,0.001
16077,2015,0.38299999999999995